iter	Passed	Remaining
803	36303	8850
804	36347	8804
805	36387	8758
806	36429	8712
807	36474	8667
808	36519	8622
809	36564	8576
810	36608	8531
811	36657	8487
812	36703	8442
813	36750	8397
814	36795	8352
815	36838	8306
816	36880	8260
817	36925	8215
818	36970	8170
819	37013	8124
820	37052	8078
821	37097	8033
822	37142	7988
823	37187	7943
824	37232	7897
825	37275	7852
826	37319	7806
827	37366	7762
828	37414	7717
829	37455	7671
830	37499	7626
831	37543	7580
832	37588	7535
833	37632	7490
834	37678	7445
835	37723	7400
836	37765	7354
837	37810	7309
838	37855	7264
839	37898	7218
840	37942	7173
841	37983	7127
842	38033	7083
843	38077	7038
844	38123	6993
845	38167	6947
846	38214	6902
847	38260	6858
848	38302	6812
849	38347	6767
850	38394	6722
851	38441	6677
852	38484	6632
853	38528	6586
854	38574	6541
855	38619	6496
856	38663	6451
857	38709	6406
858	38758	6362
859	38809	6317
860	38857	6273
861	38907	6228
862	38954	6184
863	39000	6139
864	39046	6093
865	39090	6048
866	39132	6003
867	39180	5958
868	39228	5913
869	39277	5869
870	39325	5824
871	39370	5779
872	39417	5734
873	39462	5689
874	39509	5644
875	39553	5598
876	39597	5553
877	39642	5508
878	39690	5463
879	39731	5417
880	39777	5372
881	39824	5328
882	39873	5283
883	39921	5238
884	39969	5193
885	40017	5149
886	40066	5104
887	40113	5059
888	40160	5014
889	40210	4969
890	40256	4924
891	40302	4879
892	40348	4834
893	40393	4789
894	40439	4744
895	40485	4699
896	40532	4654
897	40583	4609
898	40634	4565
899	40679	4519
900	40724	4474
901	40773	4429
902	40821	4385
903	40864	4339
904	40906	4294
905	40950	4248
906	40997	4203
907	41042	4158
908	41087	4113
909	41134	4068
910	41176	4022
911	41222	3977
912	41266	3932
913	41307	3886
914	41354	3841
915	41399	3796
916	41448	3751
917	41494	3706
918	41537	3661
919	41580	3615
920	41623	3570
921	41670	3525
922	41712	3479
923	41755	3434
924	41796	3388
925	41845	3344
926	41893	3299
927	41940	3253
928	41986	3208
929	42031	3163
930	42079	3118
931	42126	3073
932	42175	3028
933	42225	2983
934	42275	2938
935	42323	2893
936	42374	2849
937	42427	2804
938	42472	2759
939	42520	2714
940	42570	2669
941	42617	2624
942	42667	2579
943	42713	2533
944	42759	2488
945	42819	2444
946	42869	2399
947	42917	2354
948	42968	2309
949	43014	2263
950	43062	2218
951	43114	2173
952	43161	2128
953	43208	2083
954	43255	2038
955	43320	1993
956	43373	1948
957	43420	1903
958	43467	1858
959	43514	1813
960	43561	1767
961	43605	1722
962	43648	1677
963	43693	1631
964	43743	1586
965	43791	1541
966	43839	1496
967	43891	1450
968	43939	1405
969	43984	1360
970	44038	1315
971	44087	1270
972	44135	1224
973	44183	1179
974	44233	1134
975	44285	1088
976	44338	1043
977	44390	998
978	44437	953
979	44482	907
980	44529	862
981	44579	817
982	44624	771
983	44668	726
984	44715	680
985	44764	635
986	44816	590
987	44863	544
988	44909	499
989	44952	454
990	44996	408
991	45040	363
992	45085	317
993	45127	272
994	45171	226
995	45218	181
996	45263	136
997	45308	90
998	45350	45
999	45392	0
