iter	Passed	Remaining
331	2530	5092
332	2538	5085
333	2546	5078
334	2553	5069
335	2561	5061
336	2569	5054
337	2576	5046
338	2583	5037
339	2591	5029
340	2598	5022
341	2606	5014
342	2614	5007
343	2621	4999
344	2630	4993
345	2637	4985
346	2645	4977
347	2652	4970
348	2660	4963
349	2667	4953
350	2674	4945
351	2683	4939
352	2690	4931
353	2698	4923
354	2705	4914
355	2712	4906
356	2720	4899
357	2727	4890
358	2734	4883
359	2743	4877
360	2751	4870
361	2758	4861
362	2766	4854
363	2773	4845
364	2780	4838
365	2787	4829
366	2795	4821
367	2802	4813
368	2810	4806
369	2818	4798
370	2825	4790
371	2833	4783
372	2841	4776
373	2849	4769
374	2858	4763
375	2866	4756
376	2873	4749
377	2881	4742
378	2888	4733
379	2896	4726
380	2904	4718
381	2912	4711
382	2920	4705
383	2928	4697
384	2936	4690
385	2944	4683
386	2951	4675
387	2958	4667
388	2967	4661
389	2975	4653
390	2982	4645
391	2989	4637
392	2997	4629
393	3005	4622
394	3012	4614
395	3020	4607
396	3028	4599
397	3036	4592
398	3043	4584
399	3051	4577
400	3059	4569
401	3067	4562
402	3074	4555
403	3081	4545
404	3088	4538
405	3096	4530
406	3103	4522
407	3111	4514
408	3118	4506
409	3126	4499
410	3134	4491
411	3141	4484
412	3149	4476
413	3157	4468
