iter	Passed	Remaining
958	47717	2040
959	47760	1990
960	47805	1940
961	47853	1890
962	47902	1840
963	47956	1790
964	48005	1741
965	48053	1691
966	48110	1641
967	48158	1592
968	48207	1542
969	48252	1492
970	48295	1442
971	48350	1392
972	48400	1343
973	48443	1293
974	48486	1243
975	48546	1193
976	48600	1144
977	48655	1094
978	48700	1044
979	48745	994
980	48785	944
981	48834	895
982	48878	845
983	48924	795
984	48970	745
985	49026	696
986	49074	646
987	49128	596
988	49171	546
989	49215	497
990	49263	447
991	49304	397
992	49347	347
993	49397	298
994	49442	248
995	49488	198
996	49543	149
997	49589	99
998	49643	49
999	49694	0
